name,latitude,longitude
Rokadiya Hanuman Jiragadh,22.7193213,70.5104381
Tapovan Aashram,22.7003613,70.5415943
Hanuman Temple Lakhtar,22.6252084,70.3780748
Ramji Mandir Keshiya,22.6711701,70.3986211
Mahadev Mandir,22.6710523,70.389407
વિશાલ હનુમાન મંદિર,21.2198723,72.8577133
Kapila Hanuman Temple,23.610527,72.3661089
Chudel Mata Mandir,23.6097435,72.368907
Kashi Vishwanath Mahadev Temple,23.6136542,72.3574859
Tryambakeshwar Mahadev temple,23.6140666,72.3674535
Khodiyar Temple,21.3603506,71.046228
Harsiddhi Mata Temple,21.8388325,69.3705429
Khodal Dham,21.791104,70.6894698
SWAMINARAYAN TEMPLE,22.2960823,73.2538443
Pir Gulam Alishah,23.0790113,69.5923591
Shree Kutch Satsang Swaminarayan Temple Ladies,23.0792753,69.5967364
Saraneshwar Mahadev temple,24.0014355,73.2688296
Surya (Sun) temple,23.9996603,73.2747724
Lakhena na Dera (Jain temples),24.0015906,73.2817717
Visa Hanuman,23.0228973,72.5937955
Shree Swaminaryan Temple,20.9075443,70.3678511
Moinuddin Chisti Mosque,23.0601961,72.5883445
N/A,22.4783922,72.8024079
N/A,20.5502927,72.9491079
Temple,24.2359467,72.5988606
Shree Kutch Satsang Swaminarayan Temple Mens,23.0797614,69.5974338
Shree Sai Ganesh Yuvak Mandal-1976,21.2056058,72.8286705
Hatkeshwar mandir,23.0233183,72.5938375
Dwarkadhish mandir,23.0207788,72.5947645
Rameshwar mandir,23.0208959,72.5919461
Masjid e Khatimul Ambiya,22.9795627,72.5759353
Shahi Masjid,22.9976863,72.5886917
Shahi Masjid - Shah e Alam Dargah,22.9944381,72.5889358
Shahi Masjid - Dargah Hazrat Ali Sher Bangali,23.0104389,72.5651855
Hazrat Makhdum Shah Masjid,23.013937,72.584312
Jambudi Masjid,23.012687,72.584438
Masjid e Bahare Shariat,22.992313,72.5765629
Sitla Mata Temple,22.8431524,69.3278198
Sumathinath Derasar,22.8329367,69.3420947
ChandharPirbhu Jain Dersar,22.9788814,69.7190161
Vado Bhar Thanak,22.9784221,69.7192414
Sacha Mata Mother Goddess Deri,22.9783763,69.7190461
Upasro,22.9791026,69.7189684
